"","gestfips","st_ab","state_name","st_population","hryear4"
"1",1,"AL","Alabama",4858979,2015
"2",1,"AL","Alabama",4863300,2016
"3",1,"AL","Alabama",4874747,2017
"4",1,"AL","Alabama",4887871,2018
"5",2,"AK","Alaska",741894,2016
"6",2,"AK","Alaska",737438,2018
"7",2,"AK","Alaska",738432,2015
"8",2,"AK","Alaska",739795,2017
"9",4,"AZ","Arizona",6931071,2016
"10",4,"AZ","Arizona",6828065,2015
"11",4,"AZ","Arizona",7016270,2017
"12",4,"AZ","Arizona",7171646,2018
"13",5,"AR","Arkansas",2978204,2015
"14",5,"AR","Arkansas",2988248,2016
"15",5,"AR","Arkansas",3004279,2017
"16",5,"AR","Arkansas",3013825,2018
"17",6,"CA","California",39144818,2015
"18",6,"CA","California",39250017,2016
"19",6,"CA","California",39536653,2017
"20",6,"CA","California",39557045,2018
"21",8,"CO","Colorado",5607154,2017
"22",8,"CO","Colorado",5456574,2015
"23",8,"CO","Colorado",5540545,2016
"24",8,"CO","Colorado",5695564,2018
"25",9,"CT","Connecticut",3572665,2018
"26",9,"CT","Connecticut",3576452,2016
"27",9,"CT","Connecticut",3588184,2017
"28",9,"CT","Connecticut",3590886,2015
"29",10,"DE","Delaware",945934,2015
"30",10,"DE","Delaware",952065,2016
"31",10,"DE","Delaware",961939,2017
"32",10,"DE","Delaware",967171,2018
"33",11,"DC","District of Columbia",702455,2018
"34",11,"DC","District of Columbia",672228,2015
"35",11,"DC","District of Columbia",681170,2016
"36",11,"DC","District of Columbia",693972,2017
"37",12,"FL","Florida",20271272,2015
"38",12,"FL","Florida",20612439,2016
"39",12,"FL","Florida",20984400,2017
"40",12,"FL","Florida",21299325,2018
"41",13,"GA","Georgia",10214860,2015
"42",13,"GA","Georgia",10310371,2016
"43",13,"GA","Georgia",10429379,2017
"44",13,"GA","Georgia",10519475,2018
"45",15,"HI","Hawaii",1431603,2015
"46",15,"HI","Hawaii",1420491,2018
"47",15,"HI","Hawaii",1427538,2017
"48",15,"HI","Hawaii",1428557,2016
"49",16,"ID","Idaho",1683140,2016
"50",16,"ID","Idaho",1654930,2015
"51",16,"ID","Idaho",1716943,2017
"52",16,"ID","Idaho",1754208,2018
"53",17,"IL","Illinois",12741080,2018
"54",17,"IL","Illinois",12801539,2016
"55",17,"IL","Illinois",12802023,2017
"56",17,"IL","Illinois",12859995,2015
"57",18,"IN","Indiana",6619680,2015
"58",18,"IN","Indiana",6633053,2016
"59",18,"IN","Indiana",6666818,2017
"60",18,"IN","Indiana",6691878,2018
"61",19,"IA","Iowa",3145711,2017
"62",19,"IA","Iowa",3123899,2015
"63",19,"IA","Iowa",3134693,2016
"64",19,"IA","Iowa",3156145,2018
"65",20,"KS","Kansas",2907289,2016
"66",20,"KS","Kansas",2911505,2018
"67",20,"KS","Kansas",2911641,2015
"68",20,"KS","Kansas",2913123,2017
"69",21,"KY","Kentucky",4425092,2015
"70",21,"KY","Kentucky",4436974,2016
"71",21,"KY","Kentucky",4454189,2017
"72",21,"KY","Kentucky",4468402,2018
"73",22,"LA","Louisiana",4684333,2017
"74",22,"LA","Louisiana",4659978,2018
"75",22,"LA","Louisiana",4670724,2015
"76",22,"LA","Louisiana",4681666,2016
"77",23,"ME","Maine",1329328,2015
"78",23,"ME","Maine",1331479,2016
"79",23,"ME","Maine",1335907,2017
"80",23,"ME","Maine",1338404,2018
"81",24,"MD","Maryland",6006401,2015
"82",24,"MD","Maryland",6016447,2016
"83",24,"MD","Maryland",6042718,2018
"84",24,"MD","Maryland",6052177,2017
"85",25,"MA","Massachusetts",6902149,2018
"86",25,"MA","Massachusetts",6794422,2015
"87",25,"MA","Massachusetts",6811779,2016
"88",25,"MA","Massachusetts",6859819,2017
"89",26,"MI","Michigan",9928300,2016
"90",26,"MI","Michigan",9922576,2015
"91",26,"MI","Michigan",9962311,2017
"92",26,"MI","Michigan",9995915,2018
