peio1icd,industry_name
170,Crop production 111
180,Animal production 112
190,"Forestry except logging 1131, 1132"
270,Logging 1133
280,"Fishing, hunting, and trapping 114"
290,Support activities for agriculture and forestry 115
370,Oil and gas extraction 211
380,Coal mining 2121
390,Metal ore mining 2122
470,Nonmetallic mineral mining and quarrying 2123
480,Not specified type of mining Part of 21
490,Support activities for mining 213
570,"Electric power generation, transmission and distribution Pt. 2211"
580,Natural gas distribution Pt. 2212
590,"Electric and gas, and other combinations Pts. 2211, 2212"
670,"Water, steam, air-conditioning, and irrigation systems 22131, 22133"
680,Sewage treatment facilities 22132
690,Not specified utilities Part of 22
770,** Construction 23 (Includes the cleaning of buildings and dwellings is incidental during construction and immediately after construction)
1070,"Animal food, grain and oilseed milling 3111, 3112"
1080,Sugar and confectionery products 3113
1090,Fruit and vegetable preserving and specialty food manufacturing 3114
1170,Dairy product manufacturing 3115
1180,Animal slaughtering and processing 3116
1190,Retail bakeries 311811
1270,"Bakeries, except retail 3118 exc. 311811"
1280,"Seafood and other miscellaneous foods, n.e.c. 3117, 3119"
1290,Not specified food industries Part of 311
1370,Beverage manufacturing 3121
1390,Tobacco manufacturing 3122
1470,"Fiber, yarn, and thread mills 3131"
1480,"Fabric mills, except knitting 3132 exc. 31324"
1490,Textile and fabric finishing and coating mills 3133
1570,Carpet and rug mills 31411
1590,"Textile product mills, except carpets and rugs 314 exc. 31411"
1670,"Knitting mills 31324, 3151"
1680,Cut and sew apparel manufacturing 3152
1690,Apparel accessories and other apparel manufacturing 3159
1770,Footwear manufacturing 3162
1790,"Leather tanning and products, except footwear manufacturing 3161, 3169"
1870,"Pulp, paper, and paperboard mills 3221"
1880,Paperboard containers and boxes 32221
1890,"Miscellaneous paper and pulp products 32222, 32223, 32229"
1990,Printing and related support activities 3231
2070,Petroleum refining 32411
2090,Miscellaneous petroleum and coal products 32419
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing 3252"
2180,Agricultural chemical manufacturing 3253
2190,Pharmaceutical and medicine manufacturing 3254
2270,"Paint, coating, and adhesive manufacturing B46 3255"
2280,"Soap, cleaning compound, and cosmetics manufacturing 3256"
2290,"Industrial and miscellaneous chemicals 3251, 3259"
2370,Plastics product manufacturing 3261
2380,Tire manufacturing 32621
