peioocc,peio1ocd,occup_name,soc_code
-1,-1,Not in universe or children,0
10,10,Chief executives,11-1011
20,20,General and operations managers,11-1021
40,40,Advertising and promotions managers,Nov-11
50,50,Marketing and sales managers,Nov-20
60,60,Public relations managers,Nov-31
100,100,Administrative services managers,Nov-11
110,110,Computer and information systems managers,Nov-21
120,120,Financial managers,Nov-31
135,135,Compensation and benefits managers,Nov-11
136,136,Human resources managers,Nov-21
137,137,Training and development managers,Nov-31
140,140,Industrial production managers,Nov-51
150,150,Purchasing managers,Nov-61
160,160,"Transportation, storage, and distribution managers",Nov-71
205,205,"Farmers, ranchers, and other agricultural managers",Nov-13
220,220,Construction managers,Nov-21
230,230,Education administrators,Nov-30
300,300,Engineering managers,Nov-41
310,310,Food service managers,Nov-51
330,330,Gaming managers,Nov-71
340,340,Lodging managers,Nov-81
350,350,Medical and health services managers,Nov-11
360,360,Natural sciences managers,Nov-21
410,410,"Property, real estate, and community association managers",Nov-41
420,420,Social and community service managers,Nov-51
425,425,Emergency management directors,Nov-61
500,500,"Agents and business managers of artists, performers, and athletes",13-1011
510,510,"Purchasing agents and buyers, farm products",13-1021
520,520,"Wholesale and retail buyers, except farm products",13-1022
530,530,"Purchasing agents, except wholesale, retail, and farm products",13-1023
540,540,"Claims adjusters, appraisers, examiners, and investigators",13-1030
565,565,Compliance officers,13-1041
600,600,Cost estimators,13-1051
630,630,Human resource workers,13-1070
640,640,"Compensation, benefits, and job analysis specialists",13-1141
650,650,Training and development specialists,13-1151
700,700,Logisticians,13-1081
710,710,Management analysts,13-1111
725,725,"Meeting, convention, and event planners",13-1121
726,726,Fundraisers,13-1131
735,735,Market research analysts and marketing specialists,13-1161
740,740,"Business operations specialists, all other",13-1199
800,800,Accountants and auditors,13-2011
810,810,Appraisers and assessors of real estate,13-2021
820,820,Budget analysts,13-2031
830,830,Credit analysts,13-2041
840,840,Financial analysts,13-2051
850,850,Personal financial advisors,13-2052
860,860,Insurance underwriters,13-2053
900,900,Financial examiners,13-2061
910,910,Loan counselors and officers,13-2070
930,930,"Tax examiners, collectors, and revenue agents",13-2081
940,940,Tax prepares,13-2082
950,950,"Financial specialists, all other",13-2099
1005,1005,Computer and information research scientists,15-1111
1006,1006,Computer systems analysts,15-1121
1007,1007,Information security analysts,15-1122
1010,1010,Computer programmers,15-1131
1020,1020,"Software developers, applications and systems software",15-113X
1030,1030,Web developers,15-1134
1050,1050,Computer support specialists,15-1150
1060,1060,Database administrators,15-1141
1105,1105,Network and computer systems administrators,15-1142
1106,1106,Computer network architects,15-1143
1107,1107,"Computer occupations, all other",15-1199
1200,1200,Actuaries,15-2011
1220,1220,Operations research analysts,15-20XX
1240,1240,"Mathematicians, statisticians and miscellaneous mathematical science occupations",
1300,1300,"Architects, except naval",17-1010
1310,1310,"Surveyors, cartographers, and photogrammetrists",17-1020
1320,1320,Aerospace engineers,17-2011
1340,1340,Agricultural and biomedical engineers,17-20XX
1350,1350,Chemical engineers,17-2041
1360,1360,Civil engineers,17-2051
1400,1400,Computer hardware engineers,17-2061
1410,1410,Electrical and electronic engineers,17-2070
1420,1420,Environmental engineers,17-2081
1430,1430,"Industrial engineers, including health and safety",17-2110
1440,1440,Marine engineers and naval architects,17-2121
1450,1450,Materials engineers,17-2131
1460,1460,Mechanical engineers,17-2141
1500,1500,"Mining and geological engineers, including mining safety engineers",17-2151
1510,1510,Nuclear engineers,17-2161
1520,1520,Petroleum engineers,17-2171
1530,1530,"Engineers, all other",17-2199
1540,1540,Drafters,17-3010
1550,1550,"Engineering technicians, except drafters",17-3020
1560,1560,Surveying and mapping technicians,17-3031
1600,1600,Agricultural and food scientists,19-1010
1610,1610,Biological scientists,19-1020
1640,1640,Conservation scientists and foresters,19-1030
1650,1650,"Medical scientists and life scientists, all other",19-10XX
1700,1700,Astronomers and physicists,19-2010
1710,1710,Atmospheric and space scientists,19-2021
1720,1720,Chemists and material scientists,19-2030
1740,1740,Environmental scientists and geoengineers,19-2040
1760,1760,"Physical scientists, all other",19-2099
1800,1800,Economists,19-3011
1820,1820,Psychologists,19-3030
1840,1840,Urban and regional planners,19-3051
1860,1860,"Msicellaneous social scientists, including survey researchers and sociologists",19-30XX
1900,1900,Agricultural and food science technicians,19-4011
1910,1910,Biological technicians,19-4021
1920,1920,Chemical technicians,19-4031
1930,1930,Geological and petroleum technicians,19-4041
1965,1965,"Miscellaneous life, physical, and social science technicians",
2000,2000,Counselors,21-1010
2010,2010,Social workers,21-1020
2015,2015,Probation officers and correctional treatment specialists,21-1092
2016,2016,Social and human service assistants,21-1093
2025,2025,"Miscellaneous community and social service specialists, including health educators and community health workers",21-109X
2040,2040,Clergy,21-2011
2050,2050,"Directors, religious activities and education",21-2021
2060,2060,"Religious workers, all other",21-2099
2100,2100,"Lawyers, Judges, magistrates, and other judicial workers",23-1011
2105,2105,Judicial law clerks,23-1012
2145,2145,Paralegals and legal assistants,23-2011
2160,2160,Miscellaneous legal support workers,23-2090
2200,2200,Postsecondary teachers,25-1000
2300,2300,Preschool and kindergarten teachers,25-2010
2310,2310,Elementary and middle school teachers,25-2020
2320,2320,Secondary school teachers,25-2050
2330,2330,Special education teachers,25-2040
2340,2340,Other teachers and instructors,25-3000
2400,2400,"Archivists, curators, and museum technicians",25-4010
2430,2430,Librarians,25-4021
2440,2440,Library technicians,25-4031
2540,2540,Teacher assistants,25-9041
2550,2550,"Other education, training, and library workers",25-90XX
2600,2600,Artists and related workers,27-1010
2630,2630,Designers,27-1020
2700,2700,Actors,27-2011
2710,2710,Producers and directors,27-2012
2720,2720,"Athletes, coaches, umpires, and related workers",27-2020
2740,2740,Dancers and choreographers,27-2030
2750,2750,"Musicians, singers , and related workers",27-2040
2760,2760,"Entertainers and performers, sports and related workers, all other",27-2099
2800,2800,Announcers,27-3010
2810,2810,"News analysts, reporters and correspondents",27-3020
2825,2825,Public relations specialists,27-3031
2830,2830,Editors,27-3041
2840,2840,Technical writers,27-3042
2850,2850,Writers and authors,27-3043
2860,2860,Miscellaneous media and communication workers,27-3090
